train_number,station_code,average_delay_minutes,pct_right_time,pct_slight_delay,pct_significant_delay,pct_cancelled_unknown,delay_class,train_number_enc,station_code_enc
12673,MAS,2.0,98.9,0.27,0.0,0.83,LOW,50,266
12673,AVD,0.0,0.27,0.0,0.0,99.73,LOW,50,28
12673,AJJ,16.0,55.34,44.38,0.27,0.01,MEDIUM,50,12
12673,KPD,17.0,48.49,49.86,1.64,0.01,MEDIUM,50,228
12673,SA,25.0,23.01,74.79,2.19,0.01,MEDIUM,50,384
12673,ED,25.0,21.37,76.44,2.19,0.0,MEDIUM,50,142
12673,TUP,24.0,22.74,75.34,1.92,0.0,MEDIUM,50,451
12673,CBF,13.0,70.68,28.49,0.82,0.01,MEDIUM,50,93
12674,CBE,5.0,97.26,2.47,0.27,0.0,LOW,51,92
12674,ED,21.0,35.34,64.11,0.55,0.0,MEDIUM,51,142
12674,SA,24.0,27.67,71.51,0.82,0.0,MEDIUM,51,384
12674,JTJ,7.0,93.15,6.3,0.55,0.0,LOW,51,200
12674,KPD,14.0,74.79,24.38,0.82,0.01,MEDIUM,51,228
12674,AJJ,28.0,17.26,80.55,2.19,0.0,MEDIUM,51,12
12674,PER,32.0,9.86,86.58,3.01,0.55,HIGH,51,343
12681,MAS,4.0,100.0,0.0,0.0,0.0,LOW,54,266
12681,AJJ,15.0,60.0,40.0,0.0,0.0,MEDIUM,54,12
12681,KPD,11.0,80.0,20.0,0.0,0.0,MEDIUM,54,228
12681,TUP,8.0,80.0,20.0,0.0,0.0,LOW,54,451
12681,CBF,7.0,80.0,20.0,0.0,0.0,LOW,54,93
12681,CBE,0.0,100.0,0.0,0.0,0.0,LOW,54,92
12682,CBE,3.0,100.0,0.0,0.0,0.0,LOW,55,92
12682,TUP,16.0,40.0,60.0,0.0,0.0,MEDIUM,55,451
12682,ED,43.0,0.0,100.0,0.0,0.0,HIGH,55,142
12682,SA,41.0,0.0,100.0,0.0,0.0,HIGH,55,384
12682,KPD,1.0,100.0,0.0,0.0,0.0,LOW,55,228
12682,PER,11.0,80.0,20.0,0.0,0.0,MEDIUM,55,343
12682,MAS,9.0,100.0,0.0,0.0,0.0,LOW,55,266
12637,MS,2.0,99.45,0.55,0.0,0.0,LOW,48,286
12637,TBM,4.0,99.18,0.82,0.0,0.0,LOW,48,431
12637,VM,6.0,95.07,4.66,0.27,0.0,LOW,48,465
12637,VRI,7.0,96.44,3.29,0.27,0.0,LOW,48,467
12637,TPJ,8.0,84.93,14.79,0.27,0.01,LOW,48,442
12637,MPA,14.0,63.29,36.44,0.27,0.0,MEDIUM,48,282
12637,DG,17.0,55.62,43.56,0.82,0.0,MEDIUM,48,121
12637,ABI,19.0,44.66,54.52,0.82,0.0,MEDIUM,48,2
12637,KQN,21.0,33.7,65.21,1.1,0.0,MEDIUM,48,230
12638,MDU,1.0,100.0,0.0,0.0,0.0,LOW,49,270
12638,KQN,6.0,95.89,4.11,0.0,0.0,LOW,49,230
12638,ABI,10.0,91.78,8.22,0.0,0.0,LOW,49,2
12638,DG,7.0,96.44,3.56,0.0,0.0,LOW,49,121
12638,MPA,8.0,93.7,6.3,0.0,0.0,LOW,49,282
12638,TPJ,6.0,95.89,4.11,0.0,0.0,LOW,49,442
12638,VRI,21.0,36.99,62.47,0.55,0.0,MEDIUM,49,467
12638,VM,12.0,84.38,14.79,0.82,0.01,MEDIUM,49,465
12638,MLMR,16.0,10.41,5.75,0.55,83.29,MEDIUM,49,275
12638,CGL,18.0,49.04,48.77,1.92,0.27,MEDIUM,49,97
12638,TBM,23.0,32.33,64.93,2.47,0.27,MEDIUM,49,431
12638,MBM,7.0,93.15,5.75,0.82,0.28,LOW,49,268
12631,MS,3.0,99.45,0.27,0.27,0.01,LOW,46,286
12631,TBM,6.0,97.26,2.19,0.55,0.0,LOW,46,431
12631,CGL,7.0,96.16,3.29,0.55,0.0,LOW,46,97
12631,MLMR,11.0,82.47,16.99,0.55,0.0,MEDIUM,46,275
12631,TMV,17.0,59.45,40.0,0.55,0.0,MEDIUM,46,440
12631,VM,10.0,82.74,16.71,0.55,0.0,LOW,46,465
12631,VRI,12.0,75.62,23.56,0.82,0.0,MEDIUM,46,467
12631,TPJ,11.0,78.36,20.55,1.1,0.0,MEDIUM,46,442
12631,DG,13.0,72.05,26.58,1.37,0.0,MEDIUM,46,121
12631,SDN,16.0,58.36,40.27,1.37,0.0,MEDIUM,46,396
12631,MDU,13.0,68.22,30.68,1.1,0.0,MEDIUM,46,270
12631,VPT,16.0,61.64,37.53,0.82,0.01,MEDIUM,46,466
12631,SRT,15.0,60.55,38.36,1.1,0.0,MEDIUM,46,419
12631,CVP,17.0,56.44,42.47,1.1,0.0,MEDIUM,46,113
12632,TEN,3.0,99.18,0.82,0.0,0.0,LOW,47,435
12632,CVP,8.0,96.16,3.84,0.0,0.0,LOW,47,113
12632,SRT,9.0,90.96,9.04,0.0,0.0,LOW,47,419
12632,VPT,7.0,96.16,3.84,0.0,0.0,LOW,47,466
12632,MDU,11.0,78.9,21.1,0.0,0.0,MEDIUM,47,270
12632,SDN,13.0,71.23,28.77,0.0,0.0,MEDIUM,47,396
12632,DG,9.0,85.21,14.79,0.0,0.0,LOW,47,121
12632,TPJ,7.0,91.78,8.22,0.0,0.0,LOW,47,442
12632,VRI,22.0,36.16,62.74,1.1,0.0,MEDIUM,47,467
12632,VM,16.0,54.79,43.56,1.64,0.01,MEDIUM,47,465
12632,TMV,19.0,39.18,58.9,1.64,0.28,MEDIUM,47,440
12632,MLMR,20.0,37.53,60.55,1.64,0.28,MEDIUM,47,275
12632,CGL,19.0,44.38,53.42,1.92,0.28,MEDIUM,47,97
12632,TBM,24.0,27.12,69.59,2.74,0.55,MEDIUM,47,431
12632,MBM,9.0,89.32,9.04,1.1,0.54,LOW,47,268
20665,MS,1.0,100.0,0.0,0.0,0.0,LOW,78,286
20665,TBM,3.0,100.0,0.0,0.0,0.0,LOW,78,431
20665,VM,7.0,92.31,7.69,0.0,0.0,LOW,78,465
20665,TPJ,7.0,92.31,7.69,0.0,0.0,LOW,78,442
20665,DG,11.0,88.46,7.69,3.85,0.0,MEDIUM,78,121
20665,MDU,15.0,80.77,15.38,3.85,0.0,MEDIUM,78,270
20665,VPT,17.0,61.54,34.62,3.85,0.0,MEDIUM,78,466
20666,TEN,0.0,100.0,0.0,0.0,0.0,LOW,79,435
20666,MDU,2.0,100.0,0.0,0.0,0.0,LOW,79,270
20666,DG,9.0,96.15,3.85,0.0,0.0,LOW,79,121
20666,TPJ,3.0,100.0,0.0,0.0,0.0,LOW,79,442
20666,VM,10.0,92.31,7.69,0.0,0.0,LOW,79,465
20666,TBM,20.0,19.23,80.77,0.0,0.0,MEDIUM,79,431
20666,MS,4.0,92.31,7.69,0.0,0.0,LOW,79,286
12621,BZA,17.0,59.18,37.26,3.01,0.55,MEDIUM,42,88
12621,KMT,17.0,62.47,33.42,3.29,0.82,MEDIUM,42,219
12621,WL,28.0,32.6,61.64,4.93,0.83,MEDIUM,42,471
12621,BPQ,22.0,53.97,38.9,6.3,0.83,MEDIUM,42,67
12621,NGP,37.0,26.58,63.29,9.59,0.54,HIGH,42,314
12621,ET,29.0,67.95,20.27,11.78,0.0,MEDIUM,42,147
12621,VGLJ,34.0,51.78,36.99,11.23,0.0,HIGH,42,463
12621,GWL,51.0,15.07,66.3,18.63,0.0,HIGH,42,170
12621,AGC,49.0,43.01,37.26,19.73,0.0,HIGH,42,8
12621,NZM,53.0,47.95,33.42,18.63,0.0,HIGH,42,334
12621,NDLS,54.0,44.93,35.89,19.18,0.0,HIGH,42,310
12622,NDLS,16.0,93.97,1.37,4.66,0.0,MEDIUM,43,310
12622,AGC,37.0,25.21,67.4,7.4,0.0,HIGH,43,8
12622,GWL,31.0,61.64,29.04,9.32,0.0,HIGH,43,170
12622,VGLJ,37.0,53.42,36.71,9.86,0.01,HIGH,43,463
12622,BPL,39.0,59.18,27.4,13.42,0.0,HIGH,43,65
12622,ET,35.0,78.36,7.95,13.7,0.0,HIGH,43,147
12622,NGP,45.0,58.36,28.22,13.42,0.0,HIGH,43,314
12622,BPQ,46.0,61.92,22.19,15.62,0.27,HIGH,43,67
12622,WL,64.0,23.56,55.07,21.1,0.27,HIGH,43,471
12622,KMT,82.0,5.75,59.73,34.25,0.27,HIGH,43,219
12622,BZA,67.0,25.75,53.15,21.1,0.0,HIGH,43,88
12622,MAS,36.0,79.45,7.4,13.15,0.0,HIGH,43,266
12839,HWH,45.0,36.67,46.67,16.67,0.0,HIGH,56,182
12839,KGP,68.0,10.0,50.0,40.0,0.0,HIGH,56,208
12839,BLS,87.0,0.0,46.67,53.33,0.0,HIGH,56,56
12839,BHC,81.0,16.67,40.0,43.33,0.0,HIGH,56,47
12839,JJKR,90.0,6.67,36.67,56.67,0.0,HIGH,56,192
12839,CTC,104.0,0.0,26.67,73.33,0.0,HIGH,56,110
12839,BBS,111.0,0.0,26.67,73.33,0.0,HIGH,56,38
12839,KUR,104.0,3.33,23.33,73.33,0.01,HIGH,56,243
12839,BALU,115.0,0.0,16.67,83.33,0.0,HIGH,56,33
12839,CAP,119.0,0.0,20.0,80.0,0.0,HIGH,56,91
12839,BAM,139.0,0.0,10.0,90.0,0.0,HIGH,56,34
12839,IPM,135.0,0.0,13.33,86.67,0.0,HIGH,56,186
12839,SPT,135.0,0.0,13.33,86.67,0.0,HIGH,56,414
12839,PSA,104.0,6.67,33.33,60.0,0.0,HIGH,56,360
12839,NWP,99.0,6.67,33.33,60.0,0.0,HIGH,56,331
12839,CHE,98.0,10.0,33.33,56.67,0.0,HIGH,56,99
12839,CPP,106.0,6.67,26.67,66.67,0.0,HIGH,56,105
12839,VZM,98.0,16.67,30.0,53.33,0.0,HIGH,56,469
12839,VSKP,103.0,13.33,30.0,56.67,0.0,HIGH,56,468
12839,AKP,106.0,10.0,30.0,60.0,0.0,HIGH,56,15
12839,TUNI,112.0,3.33,33.33,63.33,0.01,HIGH,56,450
12839,ANV,114.0,0.0,33.33,66.67,0.0,HIGH,56,21
12839,SLO,132.0,0.0,13.33,86.67,0.0,HIGH,56,407
12839,RJY,140.0,0.0,13.33,86.67,0.0,HIGH,56,372
12839,NDD,145.0,0.0,13.33,86.67,0.0,HIGH,56,309
12839,TDD,144.0,0.0,13.33,86.67,0.0,HIGH,56,433
12839,EE,147.0,3.33,10.0,86.67,0.0,HIGH,56,143
12839,BZA,106.0,3.33,43.33,53.33,0.01,HIGH,56,88
12839,TEL,127.0,0.0,26.67,73.33,0.0,HIGH,56,434
12839,BPP,133.0,0.0,20.0,80.0,0.0,HIGH,56,66
12839,CLX,133.0,0.0,20.0,80.0,0.0,HIGH,56,101
12839,NLR,113.0,13.33,23.33,63.33,0.01,HIGH,56,320
12839,GDR,90.0,30.0,26.67,43.33,0.0,HIGH,56,159
12839,MAS,73.0,40.0,13.33,46.67,0.0,HIGH,56,266
12840,MAS,56.0,61.92,11.51,26.3,0.27,HIGH,57,266
12840,GDR,73.0,33.97,33.97,31.78,0.28,HIGH,57,159
12840,NLR,81.0,14.79,52.05,32.88,0.28,HIGH,57,320
12840,OGL,82.0,17.53,48.22,33.97,0.28,HIGH,57,336
12840,CLX,84.0,17.53,47.95,34.25,0.27,HIGH,57,101
12840,BPP,85.0,18.08,45.48,36.16,0.28,HIGH,57,66
12840,TEL,77.0,31.78,33.42,34.52,0.28,HIGH,57,434
12840,BZA,84.0,23.84,39.73,36.16,0.27,HIGH,57,88
12840,EE,94.0,16.44,38.36,44.93,0.27,HIGH,57,143
12840,TDD,99.0,14.79,36.16,48.77,0.28,HIGH,57,433
